,_id,barcode,category,name,topBrand,brandCode,cpg.$ref,cpg.$id.$oid
104,57c0829ce4b0718ff5fcb03a,511111002437,,Victoria,,,Cpgs,5332f7a7e4b03c9a25efd134
105,5a4d244ae4b0bcb2c74ea77f,511111500506,Snacks,SABRITAS,,SABRITAS,Cogs,5332f5fbe4b03c9a25efd0ba
106,57ebbfa1e4b0ac389136a330,511111702177,Beverages,Gevalia,0.0,GEVALIA KAFFE,Cogs,559c2234e4b06aca36af13c6
107,5f43faabbe37ce3ef3fd3715,511111115717,Baking,test brand @1598290603501,,TEST BRANDCODE @1598290603501,Cogs,5f43faabbe37ce3ef3fd3714
108,59d550f4e4b090070b009534,511111600633,Dairy,"O, That's Good!",0.0,O THAT'S GOOD,Cogs,559c2234e4b06aca36af13c6
109,585a9645e4b03e62d1ce0e79,511111801757,Snacks,Chester's,1.0,CHESTER'S,Cogs,5332f5fbe4b03c9a25efd0ba
110,585a968ee4b03e62d1ce0e82,511111101666,Snacks,Miss Vickies,,MISS VICKIE'S,Cogs,5332f5fbe4b03c9a25efd0ba
111,5d2f6b82a3a01810a2174aed,511111704867,Condiments & Sauces,SIR KENSINGTON'S,,SIR KENSINGTON'S,Cogs,5332f5f6e4b03c9a25efd0b4
112,5fa98944be37ce239d1070fe,511111217251,Baking,test brand @1604946244133,0.0,,Cogs,5fa98944be37ce239d1070fd
113,5332f9f2e4b03c9a25efd1c8,511111803232,,Crispix,,,Cpgs,5332f5f2e4b03c9a25efd0aa
114,55a41b55e4b0d0a65b3692ef,511111502708,,NessAlla,,,Cpgs,55a41b4be4b0d0a65b3692ee
115,5887a372e4b02187f85cdad9,511111001119,Snacks,Doritos,1.0,DORITOS,Cogs,5332f5fbe4b03c9a25efd0ba
116,57ed0697e4b072ac2294b8f2,511111101895,Condiments & Sauces,A.1.,1.0,A.1.,Cogs,559c2234e4b06aca36af13c6
117,55b630c2e4b0d8e685c1421d,511111002642,,RC Cola,,,Cpgs,55b62995e4b0d8e685c14213
118,5332f605e4b03c9a25efd0c0,511111403913,,Amp,,,Cogs,5332f5fbe4b03c9a25efd0ba
119,5f43faabbe37ce3ef3fd3716,511111315728,Baking,test brand @1598290603587,,TEST BRANDCODE @1598290603587,Cogs,5f43faabbe37ce3ef3fd3714
120,5d66de49a3a018093ab3472a,511111505433,Beverages,Looza Fruit Juices,,LOOZA JUICES,Cogs,5332f5fbe4b03c9a25efd0ba
121,5da605dc1dda2c3e1416ae83,511111005582,Health & Wellness,Aleve®,,ALEVE,Cogs,5d9b4f591dda2c6225a284aa
122,5e3876bfee7f2d697e835bd3,511111613961,Beauty,Soft-Sheen Carson - Hair Color,,SOFT-SHEEN CARSON - HAIR COLOR,Cogs,5e28b81cee7f2d697e835bcd
123,5fa98945be37ce239d107104,511111217305,Candy & Sweets,test brand @1604946245498,0.0,TEST BRANDCODE @1604946245499,Cogs,5332fa12e4b03c9a25efd1e7
124,57ebc11fe4b0ac389136a33a,511111802075,Baking,Kraft Caramels,0.0,,Cogs,559c2234e4b06aca36af13c6
125,5f494c5f04db711dd8fe87e5,511111716150,Baking,test brand @1598639199117,,TEST BRANDCODE @1598639199117,Cogs,5f494c5d04db711dd8fe87e2
126,5bd201a990fa074576779a19,511111104698,Baby,Pull-Ups,0.0,PULL UPS,Cogs,550b2565e4b001d5e9e4146f
127,5fb2852cbe37ce522e165cb1,511111417330,Baking,test brand @1605535020629,0.0,TEST BRANDCODE @1605535020629,Cogs,5fb2852cbe37ce522e165cae
128,5332f60ce4b03c9a25efd0c3,511111303893,Beverages,Brisk Iced Tea,0.0,BRISK,Cogs,5332f5fbe4b03c9a25efd0ba
129,5a7e0604e4b0aedb3b84afd3,511111504139,Beverages,Chris Brand XYZ,,CHRISXYZ,Cogs,55b62995e4b0d8e685c14213
130,5332f9f2e4b03c9a25efd1c7,511111003243,,All-Bran,,,Cpgs,5332f5f2e4b03c9a25efd0aa
